Message,Category
You've won a prize! Claim now: https://verify-now.online,Spam
Visit our store: https://trip.com for more details,Promotional
Limited time offer! Visit https://secure.bankportal.in/login to grab your discount,Promotional
Invoice for your order is available here: https://amazon.in/sale,Transactional
Track your shipment here: https://www.officialstore.com,Transactional
Visit our store: https://amazon.in/sale for more details,Promotional
Your package is waiting. Pay delivery fees at https://confirm-payee.click,Spam
Visit our store: https://www.airtel.in/recharge for more details,Promotional
Confirm your payment details: https://fakewebsite.com,Spam
Check out our latest deals at https://flipkart.com/deals,Promotional
Your dream vacation awaits! Book at https://www.myntra.com,Promotional
Visit our store: https://flipkart.com/deals for more details,Promotional
Reset your password now at https://get-rich-fast.biz,Spam
Enjoy 30% off on all products. Shop now at https://www.officialstore.com,Promotional
Exclusive deals available here: https://secure.bankportal.in/login,Promotional
You have successfully logged into your account.,Transactional
Reset your password now at https://login-now-security.xyz,Spam
Find your perfect gift at https://cleartrip.com,Promotional
Invoice for your order is available here: https://cleartrip.com,Transactional
Invoice for your order is available here: https://secure.bankportal.in/login,Transactional
Your dream vacation awaits! Book at https://www.airtel.in/recharge,Promotional
Your package is waiting. Pay delivery fees at https://fakewebsite.com,Spam
"Login successful from new device. If not you, visit https://bluedart.com/track",Transactional
Check out our latest deals at https://merchant-site.com/receipt,Promotional
Track your shipment here: https://bluedart.com/track,Transactional
You've won a prize! Claim now: https://netflix-support.com,Spam
"Login successful from new device. If not you, visit https://www.myntra.com",Transactional
Exclusive deals available here: https://www.myntra.com,Promotional
Invoice for your order is available here: https://bluedart.com/track,Transactional
Find your perfect gift at https://amazon.in/sale,Promotional
Your booking is confirmed. View details: https://www.officialstore.com,Transactional
"Login successful from new device. If not you, visit https://secure.bankportal.in/login",Transactional
Get free recharge. Click here: https://login-now-security.xyz,Spam
Urgent: Your account will be blocked. Verify at https://fakewebsite.com,Spam
"Login successful from new device. If not you, visit https://amazon.in/sale",Transactional
Your transaction ID is TXN361934. Please keep it for your records.,Transactional
Your booking is confirmed. View details: https://amazon.in/sale,Transactional
Don't miss out! Sale ends soon at https://www.airtel.in/recharge,Promotional
Earn money fast! Start today: https://get-rich-fast.biz,Spam
Your transaction ID is TXN753834. Please keep it for your records.,Transactional
Final notice. Update your info: https://fakewebsite.com,Spam
Find your perfect gift at https://bluedart.com/track,Promotional
"Login successful from new device. If not you, visit https://www.officialstore.com",Transactional
Introducing our new range. Learn more: https://trip.com,Promotional
Urgent: Your account will be blocked. Verify at https://confirm-payee.click,Spam
You've won a prize! Claim now: https://fakewebsite.com,Spam
Final notice. Update your info: https://secure-update.cards,Spam
You have successfully logged into your account.,Transactional
Urgent: Your account will be blocked. Verify at https://netflix-support.com,Spam
Upgrade your plan today: https://cleartrip.com,Promotional
Reset your password now at https://iphone14winner.com,Spam
Limited time offer! Visit https://bluedart.com/track to grab your discount,Promotional
Enjoy 30% off on all products. Shop now at https://flipkart.com/deals,Promotional
Track your shipment here: https://flipkart.com/deals,Transactional
Upgrade your plan today: https://www.myntra.com,Promotional
Exclusive deals available here: https://trip.com,Promotional
You've won a prize! Claim now: https://get-rich-fast.biz,Spam
Your payment of ₹280 was successful.,Transactional
You're selected! Redeem your reward at https://urgentupdate.co,Spam
You have successfully logged into your account.,Transactional
"Login successful from new device. If not you, visit https://www.officialstore.com",Transactional
Your booking is confirmed. View details: https://merchant-site.com/receipt,Transactional
Your transaction ID is TXN757222. Please keep it for your records.,Transactional
Find your perfect gift at https://bluedart.com/track,Promotional
Find your perfect gift at https://flipkart.com/deals,Promotional
Reset your password now at https://urgentupdate.co,Spam
Your booking is confirmed. View details: https://amazon.in/sale,Transactional
Find your perfect gift at https://www.myntra.com,Promotional
Your dream vacation awaits! Book at https://flipkart.com/deals,Promotional
Your transaction ID is TXN428185. Please keep it for your records.,Transactional
Your package is waiting. Pay delivery fees at https://confirm-payee.click,Spam
Track your shipment here: https://secure.bankportal.in/login,Transactional
Your dream vacation awaits! Book at https://bluedart.com/track,Promotional
"Login successful from new device. If not you, visit https://amazon.in/sale",Transactional
Your package is waiting. Pay delivery fees at https://verify-now.online,Spam
Click here to win an iPhone: https://fakewebsite.com,Spam
Limited time offer! Visit https://amazon.in/sale to grab your discount,Promotional
Your package with tracking ID 201773 has been shipped.,Transactional
Click here to win an iPhone: https://urgentupdate.co,Spam
Final notice. Update your info: https://netflix-support.com,Spam
Confirm your payment details: https://netflix-support.com,Spam
Your package with tracking ID 635237 has been shipped.,Transactional
Don't miss out! Sale ends soon at https://bluedart.com/track,Promotional
"Login successful from new device. If not you, visit https://amazon.in/sale",Transactional
Check out our latest deals at https://amazon.in/sale,Promotional
Your OTP is 366462. Do not share it with anyone.,Transactional
Limited time offer! Visit https://trip.com to grab your discount,Promotional
Find your perfect gift at https://www.myntra.com,Promotional
Don't miss out! Sale ends soon at https://bluedart.com/track,Promotional
Invoice for your order is available here: https://www.myntra.com,Transactional
Track your shipment here: https://bluedart.com/track,Transactional
Check out our latest deals at https://flipkart.com/deals,Promotional
You have successfully logged into your account.,Transactional
Thanks for your purchase. View invoice: https://amazon.in/sale,Transactional
Your package is waiting. Pay delivery fees at https://netflix-support.com,Spam
Get free recharge. Click here: https://login-now-security.xyz,Spam
Introducing our new range. Learn more: https://www.officialstore.com,Promotional
Exclusive deals available here: https://trip.com,Promotional
Your payment of ₹1343 was successful.,Transactional
Find your perfect gift at https://merchant-site.com/receipt,Promotional
Don't miss out! Sale ends soon at https://www.airtel.in/recharge,Promotional
Exclusive deals available here: https://merchant-site.com/receipt,Promotional
You have successfully logged into your account.,Transactional
Thanks for your purchase. View invoice: https://flipkart.com/deals,Transactional
Upgrade your plan today: https://www.myntra.com,Promotional
Visit our store: https://cleartrip.com for more details,Promotional
Visit our store: https://trip.com for more details,Promotional
Urgent: Your account will be blocked. Verify at https://winfreecash.com,Spam
Check out our latest deals at https://www.airtel.in/recharge,Promotional
Click here to win an iPhone: https://netflix-support.com,Spam
Check out our latest deals at https://secure.bankportal.in/login,Promotional
Invoice for your order is available here: https://www.airtel.in/recharge,Transactional
Thanks for your purchase. View invoice: https://secure.bankportal.in/login,Transactional
Urgent: Your account will be blocked. Verify at https://iphone14winner.com,Spam
Enjoy 30% off on all products. Shop now at https://secure.bankportal.in/login,Promotional
Thanks for your purchase. View invoice: https://www.airtel.in/recharge,Transactional
Final notice. Update your info: https://verify-now.online,Spam
Final notice. Update your info: https://confirm-payee.click,Spam
Visit our store: https://www.airtel.in/recharge for more details,Promotional
Confirm your payment details: https://secure-update.cards,Spam
Your booking is confirmed. View details: https://bluedart.com/track,Transactional
Confirm your payment details: https://confirm-payee.click,Spam
Your booking is confirmed. View details: https://www.airtel.in/recharge,Transactional
Enjoy 30% off on all products. Shop now at https://bluedart.com/track,Promotional
Enjoy 30% off on all products. Shop now at https://bluedart.com/track,Promotional
Your OTP is 982961. Do not share it with anyone.,Transactional
Thanks for your purchase. View invoice: https://merchant-site.com/receipt,Transactional
You're selected! Redeem your reward at https://iphone14winner.com,Spam
Your transaction ID is TXN106081. Please keep it for your records.,Transactional
You've won a prize! Claim now: https://iphone14winner.com,Spam
Check out our latest deals at https://cleartrip.com,Promotional
Limited time offer! Visit https://www.airtel.in/recharge to grab your discount,Promotional
Enjoy 30% off on all products. Shop now at https://secure.bankportal.in/login,Promotional
Your booking is confirmed. View details: https://merchant-site.com/receipt,Transactional
Thanks for your purchase. View invoice: https://cleartrip.com,Transactional
Upgrade your plan today: https://www.airtel.in/recharge,Promotional
Confirm your payment details: https://verify-now.online,Spam
Urgent: Your account will be blocked. Verify at https://login-now-security.xyz,Spam
Your booking is confirmed. View details: https://www.airtel.in/recharge,Transactional
Track your shipment here: https://cleartrip.com,Transactional
Earn money fast! Start today: https://iphone14winner.com,Spam
Upgrade your plan today: https://amazon.in/sale,Promotional
Your booking is confirmed. View details: https://bluedart.com/track,Transactional
Your transaction ID is TXN624135. Please keep it for your records.,Transactional
Your transaction ID is TXN108880. Please keep it for your records.,Transactional
Reset your password now at https://get-rich-fast.biz,Spam
Exclusive deals available here: https://flipkart.com/deals,Promotional
Introducing our new range. Learn more: https://www.airtel.in/recharge,Promotional
Confirm your payment details: https://fakewebsite.com,Spam
Your package with tracking ID 270472 has been shipped.,Transactional
Enjoy 30% off on all products. Shop now at https://www.officialstore.com,Promotional
Enjoy 30% off on all products. Shop now at https://www.myntra.com,Promotional
You've won a prize! Claim now: https://secure-update.cards,Spam
Find your perfect gift at https://amazon.in/sale,Promotional
Your booking is confirmed. View details: https://amazon.in/sale,Transactional
Your package is waiting. Pay delivery fees at https://login-now-security.xyz,Spam
Earn money fast! Start today: https://netflix-support.com,Spam
Thanks for your purchase. View invoice: https://www.airtel.in/recharge,Transactional
Exclusive deals available here: https://www.airtel.in/recharge,Promotional
Exclusive deals available here: https://cleartrip.com,Promotional
Find your perfect gift at https://www.officialstore.com,Promotional
Your dream vacation awaits! Book at https://bluedart.com/track,Promotional
Find your perfect gift at https://flipkart.com/deals,Promotional
Your payment of ₹6223 was successful.,Transactional
Your booking is confirmed. View details: https://www.airtel.in/recharge,Transactional
Enjoy 30% off on all products. Shop now at https://amazon.in/sale,Promotional
Check out our latest deals at https://bluedart.com/track,Promotional
Thanks for your purchase. View invoice: https://secure.bankportal.in/login,Transactional
You have successfully logged into your account.,Transactional
Visit our store: https://www.myntra.com for more details,Promotional
Track your shipment here: https://amazon.in/sale,Transactional
"Login successful from new device. If not you, visit https://www.airtel.in/recharge",Transactional
Reset your password now at https://iphone14winner.com,Spam
Your package with tracking ID 957592 has been shipped.,Transactional
Get free recharge. Click here: https://confirm-payee.click,Spam
Find your perfect gift at https://cleartrip.com,Promotional
Your package with tracking ID 485436 has been shipped.,Transactional
Your OTP is 457780. Do not share it with anyone.,Transactional
Introducing our new range. Learn more: https://secure.bankportal.in/login,Promotional
Invoice for your order is available here: https://secure.bankportal.in/login,Transactional
Limited time offer! Visit https://flipkart.com/deals to grab your discount,Promotional
Earn money fast! Start today: https://get-rich-fast.biz,Spam
Urgent: Your account will be blocked. Verify at https://secure-update.cards,Spam
Your package is waiting. Pay delivery fees at https://get-rich-fast.biz,Spam
Invoice for your order is available here: https://secure.bankportal.in/login,Transactional
Don't miss out! Sale ends soon at https://secure.bankportal.in/login,Promotional
Your OTP is 462591. Do not share it with anyone.,Transactional
"Login successful from new device. If not you, visit https://amazon.in/sale",Transactional
Find your perfect gift at https://www.airtel.in/recharge,Promotional
Your package is waiting. Pay delivery fees at https://confirm-payee.click,Spam
Find your perfect gift at https://merchant-site.com/receipt,Promotional
Find your perfect gift at https://secure.bankportal.in/login,Promotional
Exclusive deals available here: https://amazon.in/sale,Promotional
Your package is waiting. Pay delivery fees at https://urgentupdate.co,Spam
Invoice for your order is available here: https://secure.bankportal.in/login,Transactional
Check out our latest deals at https://flipkart.com/deals,Promotional
Exclusive deals available here: https://www.myntra.com,Promotional
Check out our latest deals at https://www.myntra.com,Promotional
Limited time offer! Visit https://flipkart.com/deals to grab your discount,Promotional
Your package with tracking ID 797717 has been shipped.,Transactional
Invoice for your order is available here: https://merchant-site.com/receipt,Transactional
Limited time offer! Visit https://amazon.in/sale to grab your discount,Promotional
Confirm your payment details: https://confirm-payee.click,Spam
Your package with tracking ID 845989 has been shipped.,Transactional
Your OTP is 456327. Do not share it with anyone.,Transactional
Upgrade your plan today: https://bluedart.com/track,Promotional
Get free recharge. Click here: https://verify-now.online,Spam
Don't miss out! Sale ends soon at https://trip.com,Promotional
Your package with tracking ID 179003 has been shipped.,Transactional
Exclusive deals available here: https://amazon.in/sale,Promotional
Check out our latest deals at https://trip.com,Promotional
Exclusive deals available here: https://www.myntra.com,Promotional
Reset your password now at https://netflix-support.com,Spam
Introducing our new range. Learn more: https://www.airtel.in/recharge,Promotional
Enjoy 30% off on all products. Shop now at https://www.airtel.in/recharge,Promotional
Confirm your payment details: https://secure-update.cards,Spam
Visit our store: https://bluedart.com/track for more details,Promotional
Your package is waiting. Pay delivery fees at https://fakewebsite.com,Spam
Don't miss out! Sale ends soon at https://secure.bankportal.in/login,Promotional
Your package with tracking ID 878104 has been shipped.,Transactional
Check out our latest deals at https://amazon.in/sale,Promotional
Introducing our new range. Learn more: https://www.myntra.com,Promotional
Enjoy 30% off on all products. Shop now at https://secure.bankportal.in/login,Promotional
Final notice. Update your info: https://iphone14winner.com,Spam
Exclusive deals available here: https://cleartrip.com,Promotional
Thanks for your purchase. View invoice: https://merchant-site.com/receipt,Transactional
Upgrade your plan today: https://flipkart.com/deals,Promotional
Find your perfect gift at https://www.myntra.com,Promotional
Find your perfect gift at https://amazon.in/sale,Promotional
Don't miss out! Sale ends soon at https://bluedart.com/track,Promotional
Your dream vacation awaits! Book at https://merchant-site.com/receipt,Promotional
"Login successful from new device. If not you, visit https://secure.bankportal.in/login",Transactional
Confirm your payment details: https://secure-update.cards,Spam
Final notice. Update your info: https://netflix-support.com,Spam
Introducing our new range. Learn more: https://www.myntra.com,Promotional
Track your shipment here: https://cleartrip.com,Transactional
Confirm your payment details: https://netflix-support.com,Spam
Upgrade your plan today: https://merchant-site.com/receipt,Promotional
Your dream vacation awaits! Book at https://merchant-site.com/receipt,Promotional
Get free recharge. Click here: https://netflix-support.com,Spam
Your dream vacation awaits! Book at https://cleartrip.com,Promotional
Find your perfect gift at https://trip.com,Promotional
Check out our latest deals at https://flipkart.com/deals,Promotional
Reset your password now at https://get-rich-fast.biz,Spam
You've won a prize! Claim now: https://fakewebsite.com,Spam
Click here to win an iPhone: https://confirm-payee.click,Spam
Introducing our new range. Learn more: https://merchant-site.com/receipt,Promotional
You've won a prize! Claim now: https://winfreecash.com,Spam
Check out our latest deals at https://merchant-site.com/receipt,Promotional
"Login successful from new device. If not you, visit https://amazon.in/sale",Transactional
Invoice for your order is available here: https://amazon.in/sale,Transactional
Final notice. Update your info: https://iphone14winner.com,Spam
"Login successful from new device. If not you, visit https://www.officialstore.com",Transactional
Confirm your payment details: https://confirm-payee.click,Spam
You've won a prize! Claim now: https://secure-update.cards,Spam
Upgrade your plan today: https://www.officialstore.com,Promotional
Your booking is confirmed. View details: https://trip.com,Transactional
Your dream vacation awaits! Book at https://www.myntra.com,Promotional
Find your perfect gift at https://flipkart.com/deals,Promotional
Your dream vacation awaits! Book at https://www.airtel.in/recharge,Promotional
Check out our latest deals at https://www.myntra.com,Promotional
Exclusive deals available here: https://www.myntra.com,Promotional
Limited time offer! Visit https://www.myntra.com to grab your discount,Promotional
Find your perfect gift at https://amazon.in/sale,Promotional
Your booking is confirmed. View details: https://www.airtel.in/recharge,Transactional
Upgrade your plan today: https://secure.bankportal.in/login,Promotional
Get free recharge. Click here: https://secure-update.cards,Spam
Upgrade your plan today: https://www.airtel.in/recharge,Promotional
Check out our latest deals at https://bluedart.com/track,Promotional
Your package with tracking ID 573298 has been shipped.,Transactional
Your package is waiting. Pay delivery fees at https://get-rich-fast.biz,Spam
Invoice for your order is available here: https://www.officialstore.com,Transactional
Your transaction ID is TXN568181. Please keep it for your records.,Transactional
You're selected! Redeem your reward at https://login-now-security.xyz,Spam
Enjoy 30% off on all products. Shop now at https://bluedart.com/track,Promotional
"Login successful from new device. If not you, visit https://www.officialstore.com",Transactional
Invoice for your order is available here: https://www.airtel.in/recharge,Transactional
Click here to win an iPhone: https://netflix-support.com,Spam
Confirm your payment details: https://login-now-security.xyz,Spam
Introducing our new range. Learn more: https://cleartrip.com,Promotional
You have successfully logged into your account.,Transactional
"Login successful from new device. If not you, visit https://trip.com",Transactional
You have successfully logged into your account.,Transactional
Exclusive deals available here: https://flipkart.com/deals,Promotional
Limited time offer! Visit https://www.officialstore.com to grab your discount,Promotional
Track your shipment here: https://bluedart.com/track,Transactional
Introducing our new range. Learn more: https://trip.com,Promotional
Enjoy 30% off on all products. Shop now at https://merchant-site.com/receipt,Promotional
Upgrade your plan today: https://trip.com,Promotional
Urgent: Your account will be blocked. Verify at https://urgentupdate.co,Spam
Reset your password now at https://urgentupdate.co,Spam
Limited time offer! Visit https://secure.bankportal.in/login to grab your discount,Promotional
Thanks for your purchase. View invoice: https://www.myntra.com,Transactional
Your package is waiting. Pay delivery fees at https://fakewebsite.com,Spam
Limited time offer! Visit https://bluedart.com/track to grab your discount,Promotional
Your package with tracking ID 416830 has been shipped.,Transactional
Upgrade your plan today: https://bluedart.com/track,Promotional
Upgrade your plan today: https://www.officialstore.com,Promotional
Enjoy 30% off on all products. Shop now at https://secure.bankportal.in/login,Promotional
Urgent: Your account will be blocked. Verify at https://confirm-payee.click,Spam
Your package with tracking ID 443816 has been shipped.,Transactional
Click here to win an iPhone: https://fakewebsite.com,Spam
Limited time offer! Visit https://flipkart.com/deals to grab your discount,Promotional
Introducing our new range. Learn more: https://trip.com,Promotional
Thanks for your purchase. View invoice: https://amazon.in/sale,Transactional
Check out our latest deals at https://cleartrip.com,Promotional
Your package with tracking ID 854386 has been shipped.,Transactional
Introducing our new range. Learn more: https://bluedart.com/track,Promotional
Your OTP is 126629. Do not share it with anyone.,Transactional
Check out our latest deals at https://flipkart.com/deals,Promotional
Find your perfect gift at https://bluedart.com/track,Promotional
You're selected! Redeem your reward at https://iphone14winner.com,Spam
Limited time offer! Visit https://secure.bankportal.in/login to grab your discount,Promotional
Your dream vacation awaits! Book at https://cleartrip.com,Promotional
Your booking is confirmed. View details: https://www.myntra.com,Transactional
You've won a prize! Claim now: https://secure-update.cards,Spam
Get free recharge. Click here: https://netflix-support.com,Spam
Enjoy 30% off on all products. Shop now at https://www.officialstore.com,Promotional
You're selected! Redeem your reward at https://confirm-payee.click,Spam
Your transaction ID is TXN332993. Please keep it for your records.,Transactional
Upgrade your plan today: https://merchant-site.com/receipt,Promotional
You're selected! Redeem your reward at https://netflix-support.com,Spam
Your OTP is 120127. Do not share it with anyone.,Transactional
Exclusive deals available here: https://bluedart.com/track,Promotional
Check out our latest deals at https://secure.bankportal.in/login,Promotional
Enjoy 30% off on all products. Shop now at https://amazon.in/sale,Promotional
Introducing our new range. Learn more: https://www.airtel.in/recharge,Promotional
Introducing our new range. Learn more: https://www.myntra.com,Promotional
Your OTP is 756015. Do not share it with anyone.,Transactional
Confirm your payment details: https://verify-now.online,Spam
Limited time offer! Visit https://trip.com to grab your discount,Promotional
Confirm your payment details: https://secure-update.cards,Spam
Upgrade your plan today: https://trip.com,Promotional
Don't miss out! Sale ends soon at https://secure.bankportal.in/login,Promotional
Urgent: Your account will be blocked. Verify at https://fakewebsite.com,Spam
Your booking is confirmed. View details: https://www.airtel.in/recharge,Transactional
Your transaction ID is TXN887985. Please keep it for your records.,Transactional
Final notice. Update your info: https://winfreecash.com,Spam
Thanks for your purchase. View invoice: https://cleartrip.com,Transactional
Final notice. Update your info: https://winfreecash.com,Spam
Your booking is confirmed. View details: https://cleartrip.com,Transactional
Upgrade your plan today: https://www.officialstore.com,Promotional
Your OTP is 119231. Do not share it with anyone.,Transactional
Check out our latest deals at https://secure.bankportal.in/login,Promotional
Your dream vacation awaits! Book at https://secure.bankportal.in/login,Promotional
Track your shipment here: https://flipkart.com/deals,Transactional
Don't miss out! Sale ends soon at https://cleartrip.com,Promotional
Urgent: Your account will be blocked. Verify at https://verify-now.online,Spam
Reset your password now at https://secure-update.cards,Spam
Urgent: Your account will be blocked. Verify at https://fakewebsite.com,Spam
Upgrade your plan today: https://secure.bankportal.in/login,Promotional
Find your perfect gift at https://flipkart.com/deals,Promotional
"Login successful from new device. If not you, visit https://bluedart.com/track",Transactional
Earn money fast! Start today: https://urgentupdate.co,Spam
Your package is waiting. Pay delivery fees at https://get-rich-fast.biz,Spam
Your dream vacation awaits! Book at https://amazon.in/sale,Promotional
Limited time offer! Visit https://www.myntra.com to grab your discount,Promotional
Get free recharge. Click here: https://secure-update.cards,Spam
Final notice. Update your info: https://confirm-payee.click,Spam
Upgrade your plan today: https://bluedart.com/track,Promotional
Reset your password now at https://confirm-payee.click,Spam
Invoice for your order is available here: https://secure.bankportal.in/login,Transactional
Visit our store: https://trip.com for more details,Promotional
Find your perfect gift at https://www.officialstore.com,Promotional
Click here to win an iPhone: https://urgentupdate.co,Spam
Your package is waiting. Pay delivery fees at https://secure-update.cards,Spam
Your package is waiting. Pay delivery fees at https://secure-update.cards,Spam
Check out our latest deals at https://merchant-site.com/receipt,Promotional
Your package is waiting. Pay delivery fees at https://fakewebsite.com,Spam
Thanks for your purchase. View invoice: https://secure.bankportal.in/login,Transactional
Introducing our new range. Learn more: https://bluedart.com/track,Promotional
Final notice. Update your info: https://confirm-payee.click,Spam
Confirm your payment details: https://fakewebsite.com,Spam
Introducing our new range. Learn more: https://secure.bankportal.in/login,Promotional
Your transaction ID is TXN754851. Please keep it for your records.,Transactional
Don't miss out! Sale ends soon at https://www.officialstore.com,Promotional
"Login successful from new device. If not you, visit https://cleartrip.com",Transactional
Visit our store: https://www.myntra.com for more details,Promotional
Click here to win an iPhone: https://confirm-payee.click,Spam
Your payment of ₹2665 was successful.,Transactional
Don't miss out! Sale ends soon at https://amazon.in/sale,Promotional
Your transaction ID is TXN538375. Please keep it for your records.,Transactional
Track your shipment here: https://secure.bankportal.in/login,Transactional
Exclusive deals available here: https://secure.bankportal.in/login,Promotional
Your transaction ID is TXN583872. Please keep it for your records.,Transactional
Thanks for your purchase. View invoice: https://flipkart.com/deals,Transactional
Upgrade your plan today: https://bluedart.com/track,Promotional
Your transaction ID is TXN596039. Please keep it for your records.,Transactional
Click here to win an iPhone: https://confirm-payee.click,Spam
Your dream vacation awaits! Book at https://flipkart.com/deals,Promotional
Enjoy 30% off on all products. Shop now at https://flipkart.com/deals,Promotional
Your booking is confirmed. View details: https://www.airtel.in/recharge,Transactional
Thanks for your purchase. View invoice: https://www.airtel.in/recharge,Transactional
Introducing our new range. Learn more: https://bluedart.com/track,Promotional
Your OTP is 893693. Do not share it with anyone.,Transactional
Enjoy 30% off on all products. Shop now at https://amazon.in/sale,Promotional
Your OTP is 754726. Do not share it with anyone.,Transactional
Limited time offer! Visit https://flipkart.com/deals to grab your discount,Promotional
Introducing our new range. Learn more: https://www.officialstore.com,Promotional
Enjoy 30% off on all products. Shop now at https://amazon.in/sale,Promotional
You have successfully logged into your account.,Transactional
Invoice for your order is available here: https://www.airtel.in/recharge,Transactional
Find your perfect gift at https://bluedart.com/track,Promotional
Your booking is confirmed. View details: https://www.myntra.com,Transactional
Confirm your payment details: https://login-now-security.xyz,Spam
Thanks for your purchase. View invoice: https://cleartrip.com,Transactional
Find your perfect gift at https://trip.com,Promotional
Your dream vacation awaits! Book at https://bluedart.com/track,Promotional
Your booking is confirmed. View details: https://www.officialstore.com,Transactional
You're selected! Redeem your reward at https://confirm-payee.click,Spam
Your dream vacation awaits! Book at https://www.myntra.com,Promotional
Final notice. Update your info: https://get-rich-fast.biz,Spam
You're selected! Redeem your reward at https://get-rich-fast.biz,Spam
Confirm your payment details: https://netflix-support.com,Spam
Exclusive deals available here: https://merchant-site.com/receipt,Promotional
Get free recharge. Click here: https://confirm-payee.click,Spam
Your dream vacation awaits! Book at https://merchant-site.com/receipt,Promotional
Limited time offer! Visit https://cleartrip.com to grab your discount,Promotional
Earn money fast! Start today: https://netflix-support.com,Spam
Thanks for your purchase. View invoice: https://www.airtel.in/recharge,Transactional
Urgent: Your account will be blocked. Verify at https://fakewebsite.com,Spam
Your dream vacation awaits! Book at https://amazon.in/sale,Promotional
Your booking is confirmed. View details: https://trip.com,Transactional
Confirm your payment details: https://fakewebsite.com,Spam
Your OTP is 895436. Do not share it with anyone.,Transactional
Find your perfect gift at https://amazon.in/sale,Promotional
Confirm your payment details: https://get-rich-fast.biz,Spam
Your booking is confirmed. View details: https://cleartrip.com,Transactional
Limited time offer! Visit https://cleartrip.com to grab your discount,Promotional
Track your shipment here: https://cleartrip.com,Transactional
Your OTP is 299609. Do not share it with anyone.,Transactional
Your transaction ID is TXN327740. Please keep it for your records.,Transactional
Limited time offer! Visit https://amazon.in/sale to grab your discount,Promotional
Check out our latest deals at https://cleartrip.com,Promotional
Confirm your payment details: https://login-now-security.xyz,Spam
Thanks for your purchase. View invoice: https://merchant-site.com/receipt,Transactional
Your package is waiting. Pay delivery fees at https://urgentupdate.co,Spam
Introducing our new range. Learn more: https://cleartrip.com,Promotional
Introducing our new range. Learn more: https://flipkart.com/deals,Promotional
Your package is waiting. Pay delivery fees at https://iphone14winner.com,Spam
Thanks for your purchase. View invoice: https://merchant-site.com/receipt,Transactional
Your OTP is 972770. Do not share it with anyone.,Transactional
Exclusive deals available here: https://cleartrip.com,Promotional
Upgrade your plan today: https://bluedart.com/track,Promotional
Don't miss out! Sale ends soon at https://secure.bankportal.in/login,Promotional
Click here to win an iPhone: https://confirm-payee.click,Spam
Enjoy 30% off on all products. Shop now at https://www.airtel.in/recharge,Promotional
You have successfully logged into your account.,Transactional
Track your shipment here: https://merchant-site.com/receipt,Transactional
Find your perfect gift at https://trip.com,Promotional
Track your shipment here: https://www.myntra.com,Transactional
Confirm your payment details: https://login-now-security.xyz,Spam
"Login successful from new device. If not you, visit https://www.airtel.in/recharge",Transactional
Find your perfect gift at https://secure.bankportal.in/login,Promotional
Your transaction ID is TXN599751. Please keep it for your records.,Transactional
Urgent: Your account will be blocked. Verify at https://login-now-security.xyz,Spam
Enjoy 30% off on all products. Shop now at https://cleartrip.com,Promotional
Enjoy 30% off on all products. Shop now at https://cleartrip.com,Promotional
Check out our latest deals at https://flipkart.com/deals,Promotional
Get free recharge. Click here: https://secure-update.cards,Spam
Find your perfect gift at https://bluedart.com/track,Promotional
Your package is waiting. Pay delivery fees at https://confirm-payee.click,Spam
Get free recharge. Click here: https://secure-update.cards,Spam
Exclusive deals available here: https://flipkart.com/deals,Promotional
"Login successful from new device. If not you, visit https://trip.com",Transactional
Enjoy 30% off on all products. Shop now at https://www.officialstore.com,Promotional
Your dream vacation awaits! Book at https://trip.com,Promotional
Your dream vacation awaits! Book at https://secure.bankportal.in/login,Promotional
Exclusive deals available here: https://www.myntra.com,Promotional
You've won a prize! Claim now: https://get-rich-fast.biz,Spam
Invoice for your order is available here: https://www.officialstore.com,Transactional
Upgrade your plan today: https://www.myntra.com,Promotional
Find your perfect gift at https://flipkart.com/deals,Promotional
Limited time offer! Visit https://flipkart.com/deals to grab your discount,Promotional
Click here to win an iPhone: https://get-rich-fast.biz,Spam
Your dream vacation awaits! Book at https://bluedart.com/track,Promotional
Get free recharge. Click here: https://urgentupdate.co,Spam
Limited time offer! Visit https://flipkart.com/deals to grab your discount,Promotional
Your package with tracking ID 630280 has been shipped.,Transactional
Your booking is confirmed. View details: https://www.myntra.com,Transactional
Urgent: Your account will be blocked. Verify at https://confirm-payee.click,Spam
Invoice for your order is available here: https://www.airtel.in/recharge,Transactional
Click here to win an iPhone: https://login-now-security.xyz,Spam
Upgrade your plan today: https://bluedart.com/track,Promotional
"Login successful from new device. If not you, visit https://www.myntra.com",Transactional
Invoice for your order is available here: https://trip.com,Transactional
Click here to win an iPhone: https://netflix-support.com,Spam
Thanks for your purchase. View invoice: https://www.myntra.com,Transactional
Earn money fast! Start today: https://urgentupdate.co,Spam
Your payment of ₹2821 was successful.,Transactional
Your package is waiting. Pay delivery fees at https://get-rich-fast.biz,Spam
Get free recharge. Click here: https://verify-now.online,Spam
Find your perfect gift at https://cleartrip.com,Promotional
Invoice for your order is available here: https://www.airtel.in/recharge,Transactional
Track your shipment here: https://www.myntra.com,Transactional
Your transaction ID is TXN811230. Please keep it for your records.,Transactional
Thanks for your purchase. View invoice: https://flipkart.com/deals,Transactional
Confirm your payment details: https://iphone14winner.com,Spam
Exclusive deals available here: https://bluedart.com/track,Promotional
Click here to win an iPhone: https://urgentupdate.co,Spam
Your dream vacation awaits! Book at https://www.airtel.in/recharge,Promotional
Track your shipment here: https://www.airtel.in/recharge,Transactional
